155165,Perumbavoor THQH,KoovappadyErnakulamKeralaIN,Kerala,Ernakulam,Vengoor CHC,683542,76,76
155476,Vazhakulam FHC - ALUVA,MalayadamthuruthErnakulamKeralaIN,Kerala,Ernakulam,Malayadamthuruth CHC,683105,10,76
155162,North Paravur THQH,Paravur Main Road Near Private Bus Stand North Paravur Kerala,Kerala,Ernakulam,Ezhikara CHC,683513,10,76
155367,Ramamangalam CHC,Ramamangalam - Thodupuzha Rd Kottappuram Ramamangalam Kerala,Kerala,Ernakulam,Ramamangalam CHC,686663,9,76
155192,Alangad PHC,VarappuzhaErnakulamKeralaIN,Kerala,Ernakulam,Varappuzha CHC,683518,10,76
155440,Manjalloor PHC,PandappillyErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,686670,9,76
155490,Chellanam PHC,PalluruthyErnakulamKeralaIN,Kerala,Ernakulam,Kumbalangi CHC,682008,9,76
155419,Chowara FHC,KaladyErnakulamKeralaIN,Kerala,Ernakulam,Kalady CHC,683580,10,76
155472,Mazhuvannoor PHC,VadavucodeErnakulamKeralaIN,Kerala,Ernakulam,Vadavucode CHC,683541,10,76
155354,Kodanad FHC,VengoorErnakulamKeralaIN,Kerala,Ernakulam,Vengoor CHC,683544,10,76
642600,Municipal Hall Kakkanad,Thrikkakara Municipality Community Hall Thrikkakara Kakkanad,Kerala,Ernakulam,Cheranalloor PHC,682030,10,76
155449,Mookanoor PHC,AnkamalyErnakulamKeralaIN,Kerala,Ernakulam,Ankamali TH,683577,10,76
155169,Kottappady PHC,VarapettyErnakulamKeralaIN,Kerala,Ernakulam,Varappetty CHC,686692,10,76
155216,Eloor PHC,VarappuzhaErnakulamKeralaIN,Kerala,Ernakulam,Varappuzha CHC,683501,10,76
580481,CHC Malayidamthuruth,CHC Malayidamthuruth,Kerala,Ernakulam,Malayadamthuruth CHC,683561,10,76
155269,Angamaly Taluk Hospital,Angamaly Manjapra Rd Opposite To Government Veternity Hospital Angamaly Kerala,Kerala,Ernakulam,Ankamali TH,683572,10,76
155264,Ayyampilly PHC,Pallippuram Rd Ayyampilly North Paravur Kerala,Kerala,Ernakulam,Malipuram CHC,682501,10,76
155173,Kadavoor FHC,Kadavoor Kulappuram Road Near St Alphonsa Church Kadavoor Paingottoor,Kerala,Ernakulam,Pallarimangalam CHC,686671,9,76
155113,Municipal TownHall Kalamassery,Changampuzhanagar South Kalamassery,Kerala,Ernakulam,Cheranalloor PHC,682033,10,76
155424,Chottanikkara PHC,Chottanikkara Kanayannur Ernakulam Kerala,Kerala,Ernakulam,Keechery CHC,682312,9,76
155156,Pandappilly CHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,686672,9,76
155287,Ernakulam General Hospital,Hospital Rd Marine Drive,Kerala,Ernakulam,Nettoor PHC,682011,9,76
155276,Okkal PHC,VengoorErnakulamKeralaIN,Kerala,Ernakulam,Vengoor CHC,683544,10,76
172248,Mulamthuruthy CHC,KeecheryErnakulamKeralaIN,Kerala,Ernakulam,Keechery CHC,682314,9,76
561693,Govt Medical College Ernakulam,HMT Rd HMT Colony North Kalamassery Kalamassery,Kerala,Ernakulam,Cheranalloor PHC,683503,10,76
155397,Kumarapuram PHC,Vadavucode Kumarapuram Kochi Kerala 683565,Kerala,Ernakulam,Vadavucode CHC,683565,10,76
172227,Avoly PHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,686670,9,76
155290,Mudakuzha PHC,VengoorErnakulamKeralaIN,Kerala,Ernakulam,Vengoor CHC,683546,10,76
155443,Pallarimangalam CHC,PallarimangalamErnakulamKeralaIN,Kerala,Ernakulam,Pallarimangalam CHC,686671,10,76
676958,National Public School Kaloor,Desabhimani Rd Karukappilly Kaloor,Kerala,Ernakulam,Nettoor PHC,682017,10,76
155221,Paipra FHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pandappilly CHC,683541,10,76
155340,PHC Malayattoor,AngamalyErnakulamKeralaIN,Kerala,Ernakulam,Kalady CHC,683587,10,76
636420,Pallath Raman Memorial Hall,Thamaraparambu Fort Kochi,Kerala,Ernakulam,Kumbalangi CHC,682001,9,76
172247,Edathala PHC,Edathala Aluva Kerala 683563,Kerala,Ernakulam,Malayadamthuruth CHC,683563,10,76
155431,Nedumbassery PHC,Mekkad Angamaly Ernakulam Kerala,Kerala,Ernakulam,Chengamanad CHC,683589,10,76
155304,Gothuruthu FHC,Gothuruth Kerala,Kerala,Ernakulam,Ezhikara CHC,683516,10,76
155517,Nayarambalam FHC Sanjo Church,Pallippuram Road SH63 Nayarambalam Kerala,Kerala,Ernakulam,Malipuram CHC,682509,10,76
642028,TPRA MUNCIPALITY UPHC TCC CLUB,Thrippunithura Municipality UPHC Ernakulam Kerala 682301,Kerala,Ernakulam,Keechery CHC,682301,9,76
155501,Puthenvelikkara Taluk Hospital,Elenthikkara Chendamangalam Kerala,Kerala,Ernakulam,Chengamanad CHC,683594,10,76
155434,Nettoor PHC,Hospital Thiradesha Road Nettoor Maradu,Kerala,Ernakulam,Nettoor PHC,682040,9,76
155196,Punnekkad PHC,VarapettyErnakulamKeralaIN,Kerala,Ernakulam,Varappetty CHC,686681,10,76
155523,Mamangalam SNDP Hall,Pottakuzhy Road Mamangalam Palarivattom,Kerala,Ernakulam,Cheranalloor PHC,682025,10,76
155167,Kothamangalam THQH,VarapettyErnakulamKeralaIN,Kerala,Ernakulam,Pallarimangalam CHC,686691,10,76
155415,Keezhmad PHC,MalayadamthuruthErnakulamKeralaIN,Kerala,Ernakulam,Malayadamthuruth CHC,683112,10,76
155101,Kalamassery PHC,NAD Rd Near HMT Junction South Kalamassery Kalamassery,Kerala,Ernakulam,Cheranalloor PHC,683104,10,76
674647,Kanjoor PHC,Kanjoor - Parappuram Rd Kizhakkumbhagom Kerala,Kerala,Ernakulam,Kalady CHC,683575,10,76
155110,Govt Youth Hostel Thrikkakara,Kunnumpuram-NGO Quarters Rd NGO Quarters Near Akashvani Vazhakkala Kakkanad,Kerala,Ernakulam,Cheranalloor PHC,682021,10,76
155385,Vadavucode CHC,VadavucodeErnakulamKeralaIN,Kerala,Ernakulam,Vadavucode CHC,682308,9,76
155308,Palakuzha PHC,MuvattupuzhaErnakulamKeralaIN,Kerala,Ernakulam,Pampakuda CHC,686662,9,76
155207,Munambam FHC,VypinErnakulamKeralaIN,Kerala,Ernakulam,Malipuram CHC,683515,10,76
155241,Malipuram CHC,Malipuram Valappu Kochi Kerala,Kerala,Ernakulam,Malipuram CHC,682511,10,76
155335,Thuravoor FHC,AngamalyErnakulamKeralaIN,Kerala,Ernakulam,Ankamali TH,683572,10,76
155493,Kandakadavu PHC,PalluruthyErnakulamKeralaIN,Kerala,Ernakulam,Kumbalangi CHC,682008,9,76
161445,Valanthakad PHC,Valanthakad,Kerala,Ernakulam,Nettoor PHC,682040,9,76
155145,Thripunithura THQH,Near Mini Bypass Thrippunithura Rd Kottakakom Ernakulam Kerala,Kerala,Ernakulam,Keechery CHC,682301,9,76
155252,Vallarpadam PHC,MalipuramErnakulamKeralaIN,Kerala,Ernakulam,Malipuram CHC,682504,10,76
155139,Varappuzha CHC,AalangadErnakulamKeralaIN,Kerala,Ernakulam,Varappuzha CHC,683517,10,76
155148,Udayamperoor PHC,KeecheryErnakulamKeralaIN,Kerala,Ernakulam,Keechery CHC,682307,9,76
155203,Edappally CHC,Edappally,Kerala,Ernakulam,Cheranalloor PHC,682024,10,76
726714,MAJ - Edappally,MAJ Hospital Market Road  Edappally,Kerala,Ernakulam,Cheranalloor PHC,682024,10,76
562967,TH Piravom,Taluk Hospital Piravom Kerala India,Kerala,Ernakulam,Ramamangalam CHC,686664,9,76
631986,Lourdes - Pachalam,Chathiyath Rd Pachalam,Kerala,Ernakulam,Nettoor PHC,682018,10,76
672960,GOWRI LAKSHMI MEDICAL CENTRE,Thiruvairanikulam Aluva Kerala,Kerala,Ernakulam,Kalady CHC,683580,10,76
566094,AIMS Site 1,Amrita Hospital Ponekkara P. O Kochi Kerala,Kerala,Ernakulam,Cheranalloor PHC,682041,10,76
731595,P S Mission - Maradu,P S Mission Hospital Maradu Maradu,Kerala,Ernakulam,Nettoor PHC,682304,9,76
732295,City Hosp - MG Road,City Hospital Mahatma Gandhi Rd Opp. Padma Theatre Padma Junction Pullepady,Kerala,Ernakulam,Nettoor PHC,682035,9,76
